taskFamilyId,seed,snrDb,windowLength,detectorId,auc
equal-energy-structured-vs-unstructured,86420,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.722222
equal-energy-structured-vs-unstructured,86420,-9,128,cav,0.861111
equal-energy-structured-vs-unstructured,86420,-9,128,ed,0.388889
equal-energy-structured-vs-unstructured,86420,-9,128,lzmsa-paper,0.916667
equal-energy-structured-vs-unstructured,86420,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.944444
equal-energy-structured-vs-unstructured,86420,-3,64,cav,0.916667
equal-energy-structured-vs-unstructured,86420,-3,64,ed,0.583333
equal-energy-structured-vs-unstructured,86420,-3,64,lzmsa-paper,0.555556
equal-energy-structured-vs-unstructured,86420,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.472222
equal-energy-structured-vs-unstructured,86420,-3,128,cav,1.000000
equal-energy-structured-vs-unstructured,86420,-3,128,ed,0.361111
equal-energy-structured-vs-unstructured,86420,-3,128,lzmsa-paper,0.527778
equal-energy-structured-vs-unstructured,86420,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.277778
equal-energy-structured-vs-unstructured,86420,0,64,cav,1.000000
equal-energy-structured-vs-unstructured,86420,0,64,ed,0.555556
equal-energy-structured-vs-unstructured,86420,0,64,lzmsa-paper,0.222222
equal-energy-structured-vs-unstructured,86420,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.500000
equal-energy-structured-vs-unstructured,86420,0,128,cav,1.000000
equal-energy-structured-vs-unstructured,86420,0,128,ed,0.694444
equal-energy-structured-vs-unstructured,86420,0,128,lzmsa-paper,0.361111
equal-energy-structured-vs-unstructured,86420,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.555556
equal-energy-structured-vs-unstructured,97531,-9,64,cav,0.694444
equal-energy-structured-vs-unstructured,97531,-9,64,ed,0.583333
equal-energy-structured-vs-unstructured,97531,-9,64,lzmsa-paper,0.583333
equal-energy-structured-vs-unstructured,97531,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.583333
equal-energy-structured-vs-unstructured,97531,-9,128,cav,0.750000
equal-energy-structured-vs-unstructured,97531,-9,128,ed,0.250000
equal-energy-structured-vs-unstructured,97531,-9,128,lzmsa-paper,0.638889
equal-energy-structured-vs-unstructured,97531,-9,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.527778
equal-energy-structured-vs-unstructured,97531,-3,64,cav,1.000000
equal-energy-structured-vs-unstructured,97531,-3,64,ed,0.333333
equal-energy-structured-vs-unstructured,97531,-3,64,lzmsa-paper,0.444444
equal-energy-structured-vs-unstructured,97531,-3,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.388889
equal-energy-structured-vs-unstructured,97531,-3,128,cav,1.000000
equal-energy-structured-vs-unstructured,97531,-3,128,ed,0.277778
equal-energy-structured-vs-unstructured,97531,-3,128,lzmsa-paper,0.583333
equal-energy-structured-vs-unstructured,97531,-3,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.694444
equal-energy-structured-vs-unstructured,97531,0,64,cav,1.000000
equal-energy-structured-vs-unstructured,97531,0,64,ed,0.305556
equal-energy-structured-vs-unstructured,97531,0,64,lzmsa-paper,0.638889
equal-energy-structured-vs-unstructured,97531,0,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.472222
equal-energy-structured-vs-unstructured,97531,0,128,cav,1.000000
equal-energy-structured-vs-unstructured,97531,0,128,ed,0.388889
equal-energy-structured-vs-unstructured,97531,0,128,lzmsa-paper,0.138889
equal-energy-structured-vs-unstructured,97531,0,128,lzmsa-rms-normalized-mean-compressed-byte-value,0.277778
structured-burst-vs-noise-only,24680,-9,64,cav,0.638889
structured-burst-vs-noise-only,24680,-9,64,ed,0.305556
structured-burst-vs-noise-only,24680,-9,64,lzmsa-paper,0.666667
structured-burst-vs-noise-only,24680,-9,64,lzmsa-rms-normalized-mean-compressed-byte-value,0.444444
structured-burst-vs-noise-only,24680,-9,128,cav,0.750000
