taskName,detectorName,detectorMode,scoreOrientation,conditionSnrDb,windowLength,threshold,tpr,fpr,truePositives,falsePositives,positiveCount,negativeCount,auc,sourcePointCount
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,,0.000000,0.000000,0,0,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1982.000000,0.000000,0.041667,0,1,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1985.000000,0.000000,0.125000,0,3,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1989.000000,0.000000,0.291667,0,7,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1990.000000,0.000000,0.375000,0,9,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1991.000000,0.000000,0.458333,0,11,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1992.000000,0.000000,0.500000,0,12,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1993.000000,0.041667,0.583333,1,14,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1995.000000,0.208333,0.750000,5,18,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1996.000000,0.291667,0.750000,7,18,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1997.000000,0.375000,0.916667,9,22,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1998.000000,0.500000,0.958333,12,23,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1999.000000,0.541667,1.000000,13,24,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2000.000000,0.625000,1.000000,15,24,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2002.000000,0.916667,1.000000,22,24,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2005.000000,0.958333,1.000000,23,24,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,2007.000000,1.000000,1.000000,24,24,24,24,0.111111,20
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,,0.000000,0.000000,0,0,24,24,0.032118,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1001.000000,0.000000,0.041667,0,1,24,24,0.032118,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1002.000000,0.000000,0.250000,0,6,24,24,0.032118,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1003.000000,0.000000,0.333333,0,8,24,24,0.032118,19
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,0.000000,64,1004.000000,0.000000,0.541667,0,13,24,24,0.032118,19
