taskName,detectorName,detectorMode,scoreOrientation,conditionSnrDb,windowLength,threshold,tpr,fpr,truePositives,falsePositives,positiveCount,negativeCount,auc
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1007.000000,0.263889,0.666667,19,48,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1008.000000,0.402778,0.722222,29,52,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1009.000000,0.555556,0.805556,40,58,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1010.000000,0.638889,0.875000,46,63,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1011.000000,0.708333,0.902778,51,65,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1012.000000,0.750000,0.958333,54,69,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1013.000000,0.833333,0.986111,60,71,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1014.000000,0.902778,0.986111,65,71,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1015.000000,0.944444,1.000000,68,72,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1017.000000,0.958333,1.000000,69,72,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1020.000000,0.972222,1.000000,70,72,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1022.000000,0.986111,1.000000,71,72,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,64,1023.000000,1.000000,1.000000,72,72,72,72,0.232542
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,,0.000000,0.000000,0,0,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1983.000000,0.000000,0.013889,0,1,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1984.000000,0.000000,0.027778,0,2,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1985.000000,0.000000,0.125000,0,9,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1986.000000,0.000000,0.152778,0,11,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1987.000000,0.000000,0.236111,0,17,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1988.000000,0.000000,0.291667,0,21,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1989.000000,0.000000,0.361111,0,26,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1990.000000,0.000000,0.444444,0,32,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1991.000000,0.000000,0.486111,0,35,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1992.000000,0.013889,0.652778,1,47,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1993.000000,0.013889,0.736111,1,53,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1994.000000,0.013889,0.791667,1,57,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1995.000000,0.083333,0.847222,6,61,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1996.000000,0.097222,0.902778,7,65,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1997.000000,0.166667,0.958333,12,69,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1998.000000,0.277778,0.986111,20,71,72,72,0.033661
gaussian-emitter-vs-noise-only,lzmsa-compressed-length,compressed-byte-count,LowerScoreMorePositive,-3.000000,128,1999.000000,0.388889,0.986111,28,71,72,72,0.033661
