perturbationId,perturbationAxisTag,seed,taskName,conditionSnrDb,windowLength,aucLzmsaPaper,aucLzmsaMeanCompressedByteValue,aucLzmsaCompressedByteBucket64To127Proportion,aucLzmsaSuffixThirdMeanCompressedByteValue,absoluteDeltaFromPaperMeanCompressedByteValue,absoluteDeltaFromPaperCompressedByteBucket64To127Proportion,absoluteDeltaFromPaperSuffixThirdMeanCompressedByteValue
scale-half,scale,86420,ofdm-signal-present-vs-noise-only,-3.000000,64,0.468943,0.456211,0.493441,0.541860,0.012732,0.024498,0.072917
scale-half,scale,86420,ofdm-signal-present-vs-noise-only,-3.000000,128,0.430266,0.432099,0.478106,0.452739,0.001833,0.047840,0.022473
scale-half,scale,86420,ofdm-signal-present-vs-noise-only,0.000000,64,0.553434,0.538966,0.502604,0.490162,0.014468,0.050830,0.063272
scale-half,scale,86420,ofdm-signal-present-vs-noise-only,0.000000,128,0.535012,0.524498,0.571663,0.562211,0.010514,0.036651,0.027199
scale-half,scale,97531,gaussian-emitter-vs-noise-only,-9.000000,64,0.441165,0.439043,0.502797,0.511574,0.002122,0.061632,0.070409
scale-half,scale,97531,gaussian-emitter-vs-noise-only,-9.000000,128,0.523148,0.525463,0.425058,0.459780,0.002315,0.098090,0.063368
scale-half,scale,97531,gaussian-emitter-vs-noise-only,-3.000000,64,0.502701,0.492284,0.438272,0.563465,0.010417,0.064429,0.060764
scale-half,scale,97531,gaussian-emitter-vs-noise-only,-3.000000,128,0.482446,0.491898,0.486786,0.464313,0.009452,0.004340,0.018133
scale-half,scale,97531,gaussian-emitter-vs-noise-only,0.000000,64,0.424961,0.430556,0.503665,0.407215,0.005595,0.078704,0.017746
scale-half,scale,97531,gaussian-emitter-vs-noise-only,0.000000,128,0.434028,0.424961,0.542728,0.410301,0.009067,0.108700,0.023727
scale-half,scale,97531,ofdm-signal-present-vs-noise-only,-9.000000,64,0.472994,0.467978,0.504726,0.398534,0.005016,0.031732,0.074460
scale-half,scale,97531,ofdm-signal-present-vs-noise-only,-9.000000,128,0.500000,0.485918,0.441647,0.461227,0.014082,0.058353,0.038773
scale-half,scale,97531,ofdm-signal-present-vs-noise-only,-3.000000,64,0.548225,0.540316,0.525463,0.534722,0.007909,0.022762,0.013503
scale-half,scale,97531,ofdm-signal-present-vs-noise-only,-3.000000,128,0.370949,0.350116,0.601755,0.337191,0.020833,0.230806,0.033758
scale-half,scale,97531,ofdm-signal-present-vs-noise-only,0.000000,64,0.477527,0.468364,0.536651,0.508198,0.009163,0.059124,0.030671
scale-half,scale,97531,ofdm-signal-present-vs-noise-only,0.000000,128,0.478395,0.461806,0.467689,0.469329,0.016589,0.010706,0.009066
float32,packing,24680,gaussian-emitter-vs-noise-only,-9.000000,64,0.554205,0.543017,0.495563,0.582755,0.011188,0.058642,0.028550
float32,packing,24680,gaussian-emitter-vs-noise-only,-9.000000,128,0.483314,0.509259,0.505112,0.476466,0.025945,0.021798,0.006848
float32,packing,24680,gaussian-emitter-vs-noise-only,-3.000000,64,0.514468,0.498843,0.455536,0.506462,0.015625,0.058932,0.008006
float32,packing,24680,gaussian-emitter-vs-noise-only,-3.000000,128,0.519290,0.516782,0.467593,0.501543,0.002508,0.051697,0.017747
float32,packing,24680,gaussian-emitter-vs-noise-only,0.000000,64,0.497106,0.464313,0.484279,0.462191,0.032793,0.012827,0.034915
float32,packing,24680,gaussian-emitter-vs-noise-only,0.000000,128,0.633102,0.625965,0.475405,0.623264,0.007137,0.157697,0.009838
float32,packing,24680,ofdm-signal-present-vs-noise-only,-9.000000,64,0.522473,0.547454,0.460745,0.491705,0.024981,0.061728,0.030768
float32,packing,24680,ofdm-signal-present-vs-noise-only,-9.000000,128,0.545525,0.532215,0.521316,0.547454,0.013310,0.024209,0.001929
float32,packing,24680,ofdm-signal-present-vs-noise-only,-3.000000,64,0.464120,0.423804,0.495177,0.475309,0.040316,0.031057,0.011189
float32,packing,24680,ofdm-signal-present-vs-noise-only,-3.000000,128,0.611786,0.590471,0.477720,0.547647,0.021315,0.134066,0.064139
float32,packing,24680,ofdm-signal-present-vs-noise-only,0.000000,64,0.601659,0.578897,0.440394,0.519097,0.022762,0.161265,0.082562
float32,packing,24680,ofdm-signal-present-vs-noise-only,0.000000,128,0.681134,0.629244,0.479842,0.554591,0.051890,0.201292,0.126543
float32,packing,86420,gaussian-emitter-vs-noise-only,-9.000000,64,0.596644,0.606096,0.483700,0.567708,0.009452,0.112944,0.028936
float32,packing,86420,gaussian-emitter-vs-noise-only,-9.000000,128,0.511381,0.548611,0.534336,0.527874,0.037230,0.022955,0.016493
float32,packing,86420,gaussian-emitter-vs-noise-only,-3.000000,64,0.431713,0.406057,0.474826,0.490741,0.025656,0.043113,0.059028
float32,packing,86420,gaussian-emitter-vs-noise-only,-3.000000,128,0.535976,0.515818,0.508102,0.511188,0.020158,0.027874,0.024788
float32,packing,86420,gaussian-emitter-vs-noise-only,0.000000,64,0.537230,0.512346,0.471740,0.532407,0.024884,0.065490,0.004823
float32,packing,86420,gaussian-emitter-vs-noise-only,0.000000,128,0.502315,0.473765,0.509645,0.475887,0.028550,0.007330,0.026428
float32,packing,86420,ofdm-signal-present-vs-noise-only,-9.000000,64,0.497299,0.507909,0.456983,0.461806,0.010610,0.040316,0.035493
float32,packing,86420,ofdm-signal-present-vs-noise-only,-9.000000,128,0.508005,0.520448,0.508295,0.522762,0.012443,0.000290,0.014757
float32,packing,86420,ofdm-signal-present-vs-noise-only,-3.000000,64,0.498457,0.463349,0.547936,0.474730,0.035108,0.049479,0.023727
float32,packing,86420,ofdm-signal-present-vs-noise-only,-3.000000,128,0.533565,0.544367,0.303048,0.516397,0.010802,0.230517,0.017168
float32,packing,86420,ofdm-signal-present-vs-noise-only,0.000000,64,0.615741,0.595872,0.602913,0.585938,0.019869,0.012828,0.029803
float32,packing,86420,ofdm-signal-present-vs-noise-only,0.000000,128,0.717593,0.691551,0.375965,0.590856,0.026042,0.341628,0.126737
float32,packing,97531,gaussian-emitter-vs-noise-only,-9.000000,64,0.467207,0.459298,0.443287,0.492766,0.007909,0.023920,0.025559
